timestamp,.300BLK_4,.300BLK_5,.357 Magnum 9号霰射&#34;鼠弹&#34;,.357 Magnum JHP,.45 ACP FMJ,.45 ACP RIP,.45 ACP Super,.50 AE FMJ,.50 AE JHP,12 Gauge 8.5毫米鹿弹,12 Gauge DART,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP ST,4.6x30mm AP SX,4.6x30mm CT,4.6x30mm FMJ ST,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm BT,5.45x39mm PS,5.56x45mm M855,5.56x45mm M995,5.7x28mm L191,5.7x28mm SS190,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R T46M,9x19mm AP6.3,9x19mm PBP,9x19mm RIP,9x39mm BP,9x39mm SP5,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-09-08 03:21,,6243,188,759,491,,5912,,,,400,373,,471,499,2867,2197,,5323,4316,4217,,947,,237,1213,3555,404,5519,,354,,5512,,5417,5005,433,,5549,5646,,416,488,6067,1498,6094,402,,,,4744,264,679,1994,5649
2026-09-08 03:31,,6318,188,759,491,,5912,,,,400,373,1240,471,499,2867,2197,519,5143,4316,4217,,947,1145,237,1213,3415,524,5519,,354,,5512,,5417,5005,433,,5549,5646,,416,488,6067,1498,6094,402,,,,4744,264,739,,5649
2026-09-08 03:41,,6318,188,779,491,,5912,,364,,400,358,,431,,,2112,519,4963,4371,4272,,972,1120,237,1213,3415,434,5574,,354,,5512,,5482,5005,433,,5549,5646,,416,468,6067,1498,6094,422,,,,4679,264,709,1924,5649
2026-09-08 03:51,,6318,188,779,491,,5912,,364,,400,358,,431,,,2112,519,4963,4261,4272,,972,1120,237,1213,3415,464,5574,,354,,5512,,5482,5005,433,,5549,5646,,416,468,6067,1498,6094,422,,,,4679,264,739,1924,5794
2026-09-08 04:01,,6318,188,779,491,,5912,,364,,400,358,,431,,,2112,519,4963,4261,4272,,972,1120,237,1213,3415,464,5574,,354,,5512,,5482,5005,433,,5549,5646,,416,468,6067,1498,6094,422,,,,4679,264,739,1924,5794
2026-09-08 04:11,,6318,188,779,491,,5912,,364,,400,358,,431,,,2112,519,4963,4261,4272,,972,1120,237,1213,3415,464,5574,,354,,5512,,5482,5005,433,,5549,5646,,416,468,6067,1498,6094,422,,,,4679,264,739,1924,5794
2026-09-08 04:21,,6318,188,779,491,,5912,,364,,400,358,,431,,,2112,519,4963,4261,4272,,972,1120,237,1213,3415,464,5574,,354,,5512,,5482,5005,433,,5549,5646,,416,468,6067,1498,6094,422,,,,4679,264,739,1924,5794
2026-09-08 04:22,,6318,188,779,491,,5912,,364,,400,358,,431,,,2112,519,4963,4261,4272,,972,1120,237,1213,3415,464,5574,,354,,5512,,5482,5005,433,,5549,5646,,416,468,6067,1498,6094,422,,,,4679,264,739,1924,5794
2026-09-08 04:24,,6318,188,779,491,,5912,,364,,400,358,,431,,,2112,519,4963,4261,4272,,972,1120,237,1213,3415,464,5574,,354,,5512,,5482,5005,433,,5549,5646,,416,468,6067,1498,6094,422,,,,4679,264,739,1924,5794
2026-09-08 04:31,,6318,188,779,491,,5912,,364,,400,358,,431,,,2112,519,4963,4261,4272,,972,1120,237,1213,3415,464,5574,,354,,5512,,5482,5005,433,,5549,5646,,416,468,6067,1498,6094,422,,,,4679,264,739,1924,5794
2026-09-08 04:41,,6318,188,779,491,,5912,,364,,400,358,,431,,,2112,519,4963,4261,4272,,972,1120,237,1213,3415,464,5574,,354,,5512,,5482,5005,433,,5549,5646,,416,468,6067,1498,6094,422,,,,4679,264,739,1924,5794
2026-09-08 04:51,,6318,188,779,491,,5912,,364,,400,358,,431,,,2112,519,4963,4261,4272,,972,1120,237,1213,3415,464,5574,,354,,5512,,5482,5005,433,,5549,5646,,416,468,6067,1498,6094,422,,,,4679,264,739,1924,5794
2026-09-08 05:01,,6318,188,779,491,,5912,,364,,400,358,,431,,,2112,519,4963,4261,4272,,972,1120,237,1213,3415,464,5574,,354,,5512,,5482,5005,433,,5549,5646,,416,468,6067,1498,6094,422,,,,4679,264,739,1924,5794
2026-09-08 05:11,,6318,188,779,491,,5912,,364,,400,358,,431,,,2112,519,4963,4261,4272,,972,1120,237,1213,3415,464,5574,,354,,5512,,5482,5005,433,,5549,5646,,416,468,6067,1498,6094,422,,,,4679,264,739,1924,5794
2026-09-08 05:21,,6318,188,779,491,,5912,,364,,400,358,,431,,,2112,519,4963,4261,4272,,972,1120,237,1213,3415,464,5574,,354,,5512,,5482,5005,433,,5549,5646,,416,468,6067,1498,6094,422,,,,4679,264,739,1924,5794
2026-09-08 05:31,,6318,188,779,491,,5912,,364,,400,358,,431,,,2112,519,4963,4261,4272,,972,1120,237,1213,3415,464,5574,,354,,5512,,5482,5005,433,,5549,5646,,416,468,6067,1498,6094,422,,,,4679,264,739,1924,5794
2026-09-08 05:41,,6318,188,779,491,,5912,,364,,400,358,,431,,,2112,519,4963,4261,4272,,972,1120,237,1213,3415,464,5574,,354,,5512,,5482,5005,433,,5549,5646,,416,468,6067,1498,6094,422,,,,4679,264,739,1924,5794
2026-09-08 05:51,,6318,188,779,491,,5912,,364,,400,358,,431,,,2112,519,4963,4261,4272,,972,1120,237,1213,3415,464,5574,,354,,5512,,5482,5005,433,,5549,5646,,416,468,6067,1498,6094,422,,,,4679,264,739,1924,5794
2026-09-08 06:01,,6318,188,779,491,,5912,,364,,400,358,,431,,,2112,519,4963,4261,4272,,972,1120,237,1213,3415,464,5574,,354,,5512,,5482,5005,433,,5549,5646,,416,468,6067,1498,6094,422,,,,4679,264,739,1924,5794
2026-09-08 06:11,,6318,188,779,491,,5912,,364,,400,358,,431,,,2112,519,4963,4261,4272,,972,1120,237,1213,3415,464,5574,,354,,5512,,5482,5005,433,,5549,5646,,416,468,6067,1498,6094,422,,,,4679,264,739,1924,5794
2026-09-08 06:12,,6318,188,779,491,,5912,,364,,400,358,,431,,,2112,519,4963,4261,4272,,972,1120,237,1213,3415,464,5574,,354,,5512,,5482,5005,433,,5549,5646,,416,468,6067,1498,6094,422,,,,4679,264,739,1924,5794
